ï»"Periodo";"Precio-la luz"
"2022-01-01";"122,63"
"2022-02-01";"136,97"
"2022-03-01";"150,5"
"2022-04-01";"152,47"
"2022-05-01";"180,99"
"2022-06-01";"212,98"
"2022-07-01";"215,86"
"2022-08-01";"203,45"
"2022-09-01";"119,83"
"2022-10-01";"217,26"
"2022-11-01";"223,16"
"2022-12-01";"206,07"
"2022-13-01";"215,11"
"2022-14-01";"202,95"
"2022-15-01";"218,82"
"2022-16-01";"213,1"
"2022-17-01";"244,67"
"2022-18-01";"222,73"
"2022-19-01";"213,16"
"2022-20-01";"190,64"
"2022-21-01";"179,09"
"2022-22-01";"190,41"
"2022-23-01";"201,34"
"2022-24-01";"227"
"2022-25-01";"224,24"
"2022-26-01";"236,77"
"2022-27-01";"232,5"
"2022-28-01";"224,59"
"2022-29-01";"223,36"
"2022-30-01";"230,5"
"2022-31-01";"221,82"
"2022-01-02";"206,54"
"2022-02-02";"210,18"
"2022-03-02";"207,89"
"2022-04-02";"197,03"
"2022-05-02";"198,37"
"2022-06-02";"190,47"
"2022-07-02";"206,46"
"2022-08-02";"203,7"
"2022-09-02";"210,52"
"2022-10-02";"205,7"
"2022-11-02";"196,49"
"2022-12-02";"198,94"
"2022-13-02";"164,04"
"2022-14-02";"183,32"
"2022-15-02";"199,94"
"2022-16-02";"178,09"
"2022-17-02";"163,41"
"2022-18-02";"184,26"
"2022-19-02";"137,76"
"2022-20-02";"162,64"
"2022-21-02";"183,32"
"2022-22-02";"179,74"
"2022-23-02";"195,86"
"2022-24-02";"205,6"
"2022-25-02";"240,13"
"2022-26-02";"261,11"
"2022-27-02";"256,84"
"2022-28-02";"277,78"
"2022-01-03";"258,66"
"2022-02-03";"254,03"
"2022-03-03";"341,52"
"2022-04-03";"340,7"
"2022-05-03";"366,55"
"2022-06-03";"379,03"
"2022-07-03";"442,54"
"2022-08-03";"544,98"
"2022-09-03";"472,97"
"2022-10-03";"369,75"
"2022-11-03";"284,58"
"2022-12-03";"246,05"
"2022-13-03";"247,89"
"2022-14-03";"251,7"
"2022-15-03";"249,66"
"2022-16-03";"263,65"
"2022-17-03";"217,13"
"2022-18-03";"232,28"
"2022-19-03";"221,91"
"2022-20-03";"207,11"
"2022-21-03";"229,71"
"2022-22-03";"226,14"
"2022-23-03";"212,44"
"2022-24-03";"225,71"
"2022-25-03";"263,85"
"2022-26-03";"237,45"
"2022-27-03";"219,42"
"2022-28-03";"231,72"
"2022-29-03";"248,1"
"2022-30-03";"255,81"
"2022-31-03";"239,37"
"2022-01-04";"224,75"
"2022-02-04";"225,08"
"2022-03-04";"228,54"
"2022-04-04";"251,41"
"2022-05-04";"265,02"
"2022-06-04";"254,99"
"2022-07-04";"214,79"
"2022-08-04";"154,7"
"2022-09-04";"241,59"
"2022-10-04";"159,33"
"2022-11-04";"163,13"
"2022-12-04";"237,3"
"2022-13-04";"229,44"
"2022-14-04";"220,76"
"2022-15-04";"198,47"
"2022-16-04";"153,85"
"2022-17-04";"111,35"
"2022-18-04";"103,24"
"2022-19-04";"112,12"
"2022-20-04";"85,19"
"2022-21-04";"161,72"
"2022-22-04";"207,77"
"2022-23-04";"86,25"
"2022-24-04";"146,95"
"2022-25-04";"226,57"
"2022-26-04";"233,78"
"2022-27-04";"220,95"
"2022-28-04";"224,97"
"2022-29-04";"214,84"
"2022-30-04";"186,45"
"2022-01-05";"177,86"
"2022-02-05";"191,81"
"2022-03-05";"191,47"
"2022-04-05";"202,15"
"2022-05-05";"190,77"
"2022-06-05";"197,63"
"2022-07-05";"184,86"
"2022-08-05";"172,39"
"2022-09-05";"208,74"
"2022-10-05";"208,71"
"2022-11-05";"186,84"
"2022-12-05";"187,27"
"2022-13-05";"202,99"
"2022-14-05";"191,55"
"2022-15-05";"127,23"
"2022-16-05";"195,23"
"2022-17-05";"199,36"
"2022-18-05";"194,86"
"2022-19-05";"191,08"
"2022-20-05";"203,74"
"2022-21-05";"178,71"
"2022-22-05";"170,56"
"2022-23-05";"194,16"
"2022-24-05";"180,01"
"2022-25-05";"184,57"
"2022-26-05";"173,29"
"2022-27-05";"168,54"
"2022-28-05";"162,25"
"2022-29-05";"161,84"
"2022-30-05";"206,62"
"2022-31-05";"213,82"
"2022-01-06";"210,45"
"2022-02-06";"214,74"
"2022-03-06";"214,5"
"2022-04-06";"203,86"
"2022-05-06";"193,98"
"2022-06-06";"194,94"
"2022-07-06";"193,32"
"2022-08-06";"185,45"
"2022-09-06";"182,67"
"2022-10-06";"194,35"
"2022-11-06";"190,5"
"2022-12-06";"167,06"
"2022-13-06";"200,62"
"2022-14-06";"214,05"
"2022-15-06";"165,59"
"2022-16-06";"170,81"
"2022-17-06";"177,9"
"2022-18-06";"146,54"
"2022-19-06";"122,61"
"2022-20-06";"157,48"
"2022-21-06";"148,03"
"2022-22-06";"152,75"
"2022-23-06";"149,86"
"2022-24-06";"137,59"
"2022-25-06";"128,7"
"2022-26-06";"117,94"
"2022-27-06";"143,27"
"2022-28-06";"144,66"
"2022-29-06";"132,74"
"2022-30-06";"132,13"
"2022-01-07";"145,22"
"2022-02-07";"142,42"
"2022-03-07";"133,5"
"2022-04-07";"159,92"
"2022-05-07";"139,16"
"2022-06-07";"145,3"
"2022-07-07";"124,2"
"2022-08-07";"146,73"
"2022-09-07";"148,62"
"2022-10-07";"138,62"
"2022-11-07";"157,54"
"2022-12-07";"155,71"
"2022-13-07";"159,45"
"2022-14-07";"162,22"
"2022-15-07";"147,25"
"2022-16-07";"136,83"
"2022-17-07";"102,45"
"2022-18-07";"115,77"
"2022-19-07";"142,35"
"2022-20-07";"147,54"
"2022-21-07";"138,84"
"2022-22-07";"133,45"
"2022-23-07";"155,99"
"2022-24-07";"136,99"
"2022-25-07";"158,02"
"2022-26-07";"145,65"
"2022-27-07";"148,25"
"2022-28-07";"169,86"
"2022-29-07";"141,51"
"2022-30-07";"129,98"
"2022-31-07";"113,09"
"2022-01-08";"147,43"
"2022-02-08";"151,29"
"2022-03-08";"147,85"
"2022-04-08";"147,23"
"2022-05-08";"135,24"
"2022-06-08";"135,53"
"2022-07-08";"123,98"
"2022-08-08";"146,31"
"2022-09-08";"143,99"
"2022-10-08";"144,78"
"2022-11-08";"150,19"
"2022-12-08";"158,25"
"2022-13-08";"152,32"
"2022-14-08";"149,18"
"2022-15-08";"145,35"
"2022-16-08";"143,2"
"2022-17-08";"139,3"
"2022-18-08";"134,67"
"2022-19-08";"135,35"
"2022-20-08";"169,11"
"2022-21-08";"141,1"
"2022-22-08";"176,4"
"2022-23-08";"182,93"
"2022-24-08";"186,95"
"2022-25-08";"161,88"
"2022-26-08";"175,33"
"2022-27-08";"160,04"
"2022-28-08";"138,74"
"2022-29-08";"188,42"
"2022-30-08";"201,96"
"2022-31-08";"187,3"
"2022-01-09";"193,36"
"2022-02-09";"152,14"
"2022-03-09";"119,22"
"2022-04-09";"146,62"
"2022-05-09";"188,53"
"2022-06-09";"169,57"
"2022-07-09";"106,56"
"2022-08-09";"155,94"
"2022-09-09";"159,73"
"2022-10-09";"176,05"
"2022-11-09";"161,42"
"2022-12-09";"175,63"
"2022-13-09";"128,75"
"2022-14-09";"133,61"
"2022-15-09";"176,46"
"2022-16-09";"171,46"
"2022-17-09";"61,68"
"2022-18-09";"131,61"
"2022-19-09";"193,03"
"2022-20-09";"149,47"
"2022-21-09";"137,4"
"2022-22-09";"175,42"
"2022-23-09";"127,91"
"2022-24-09";"106,74"
"2022-25-09";"71,97"
"2022-26-09";"119,27"
"2022-27-09";"100,16"
"2022-28-09";"108,62"
"2022-29-09";"114,69"
"2022-30-09";"118,39"
"2022-01-10";"116,09"
"2022-02-10";"145"
"2022-03-10";"200,38"
"2022-04-10";"190,53"
"2022-05-10";"167,96"
"2022-06-10";"113,11"
"2022-07-10";"154,37"
"2022-08-10";"119,31"
"2022-09-10";"114,23"
"2022-10-10";"163,92"
"2022-11-10";"170,77"
"2022-12-10";"133,96"
"2022-13-10";"145,72"
"2022-14-10";"134,33"
"2022-15-10";"115,73"
"2022-16-10";"103,97"
"2022-17-10";"140,23"
"2022-18-10";"107,46"
"2022-19-10";"81,71"
"2022-20-10";"86,66"
"2022-21-10";"107,8"
"2022-22-10";"105,91"
"2022-23-10";"72,84"
"2022-24-10";"109,78"
"2022-25-10";"106,66"
"2022-26-10";"108,62"
"2022-27-10";"114,46"
"2022-28-10";"110,96"
"2022-29-10";"101,39"
"2022-30-10";"135,62"
"2022-31-10";"164,07"
"2022-01-11";"110,32"
"2022-02-11";"125,98"
"2022-03-11";"121,89"
"2022-04-11";"150,44"
"2022-05-11";"124,79"
"2022-06-11";"113,48"
"2022-07-11";"120,91"
"2022-08-11";"113,4"
"2022-09-11";"132,52"
"2022-10-11";"134,78"
"2022-11-11";"121,18"
"2022-12-11";"106,22"
"2022-13-11";"131,69"
"2022-14-11";"139,8"
"2022-15-11";"109,66"
"2022-16-11";"103,98"
"2022-17-11";"78,93"
"2022-18-11";"115,67"
"2022-19-11";"67,38"
"2022-20-11";"96,58"
"2022-21-11";"80,64"
"2022-22-11";"73,36"
"2022-23-11";"90,53"
"2022-24-11";"137,74"
"2022-25-11";"141,39"
"2022-26-11";"130,21"
"2022-27-11";"117,04"
"2022-28-11";"103,36"
"2022-29-11";"121,54"
"2022-30-11";"151,25"
"2022-01-12";"150,08"
"2022-02-12";"127,62"
"2022-03-12";"120,02"
"2022-04-12";"189,18"
"2022-05-12";"209,3"
"2022-06-12";"153,44"
"2022-07-12";"142,3"
"2022-08-12";"122,39"
"2022-09-12";"144,39"
"2022-10-12";"125,02"
"2022-11-12";"146,45"
"2022-12-12";"114,51"
"2022-13-12";"97,69"
"2022-14-12";"81,38"
"2022-15-12";"131,31"
"2022-16-12";"128,62"
"2022-17-12";"133,82"
"2022-18-12";"97,73"
"2022-19-12";"81,07"
"2022-20-12";"65,41"
"2022-21-12";"64,09"
"2022-22-12";"52,03"
"2022-23-12";"22,34"
"2022-24-12";"15,24"
"2022-25-12";"36,41"
"2022-26-12";"77,32"
"2022-27-12";"109,49"
"2022-28-12";"41,41"
"2022-29-12";"16,19"
"2022-30-12";"6,02"
"2022-31-12";"2,65"
"2023-01-01";"6,7"
"2023-02-01";"112,55"
"2023-03-01";"138,79"
"2023-04-01";"115,26"
"2023-05-01";"109,19"
"2023-06-01";"104,14"
"2023-07-01";"23,77"
"2023-08-01";"10,28"
"2023-09-01";"85,78"
"2023-10-01";"109,4"
"2023-11-01";"83,84"
"2023-12-01";"92,69"
"2023-13-01";"88,48"
"2023-14-01";"53"
"2023-15-01";"22,05"
"2023-16-01";"13,22"
"2023-17-01";"5,1"
"2023-18-01";"21,61"
"2023-19-01";"34,51"
"2023-20-01";"91,2"
"2023-21-01";"58,89"
